"","x"
"521","Ly9"
"522","Cdc42ep4"
"523","Mdm2"
"524","Ctsk"
"525","Ero1a"
"526","Slco3a1"
"527","Stk38l"
"528","Irf9"
"529","Dusp10"
"530","Gpd2"
"531","Mndal"
"532","Arid5b"
"533","Evi2a"
"534","Rnf139"
"535","Ammecr1"
"536","Cdc42ep2"
"537","Orai2"
"538","Pcgf5"
"539","A530032D15Rik"
"540","Mecp2"
"541","Tnni3"
"542","Hivep1"
"543","Kcnab1"
"544","Ube2l6"
"545","Trim12a"
"546","Rrad"
"547","Zbp1"
"548","Mx1"
"549","Ticam2"
"550","Casp8"
"551","Zfp984"
"552","Edn1"
"553","Apobec3"
"554","Rgs16"
"555","A430093F15Rik"
"556","Ptpn6"
"557","Gfpt1"
"558","Cited2"
"559","Marcks"
"560","Tstd1"
"561","Gsdmd"
"562","Zdhhc5"
"563","Xcr1"
"564","Snx10"
"565","Mtm1"
"566","Tapbp"
"567","Serpinb6b"
"568","Rap2c"
"569","Hmgn3"
"570","Chdh"
"571","Phf11"
"572","Helz2"
