"","x"
"513","Rnf31"
"514","Cdc42ep4"
"515","Igf2bp2"
"516","Ktn1"
"517","Marchf1"
"518","F830208F22Rik"
"519","Gbp7"
"520","A930015D03Rik"
"521","Lrp11"
"522","Nfix"
"523","E2f5"
"524","Ppp2r5a"
"525","Cd302"
"526","Ccr9"
"527","Alpk1"
"528","Tmem50b"
"529","Tor1aip2"
"530","F830016B08Rik"
"531","Cd48"
"532","Ddx17"
"533","Gucd1"
"534","B4galt5"
"535","H2-Ab1"
"536","Ikzf1"
"537","Serp1"
"538","Il18"
"539","Tnfsf9"
"540","Dcp2"
"541","Cept1"
"542","Gpr176"
"543","Crtc2"
"544","H2-M3"
"545","Tlk2"
"546","Scimp"
"547","Fam114a1"
"548","Psma3"
"549","Rbm43"
"550","Rab20"
"551","Aebp2"
"552","Zfp36"
"553","Bst2"
"554","Casp8"
"555","Gm10634"
"556","Rftn1"
"557","Diaph2"
"558","Traf5"
"559","Gramd3"
"560","Mertk"
"561","Crlf3"
"562","Grb2"
"563","Amz2"
"564","Rab43"
"565","Ttc26"
"566","Ebi3"
"567","Dram2"
"568","Tstd1"
"569","6530402F18Rik"
"570","Cxcl16"
"571","Gm5431"
"572","Spred1"
"573","Tyk2"
"574","Grk3"
"575","Gpr85"
"576","Cxcr6"
"577","Notch2"
"578","Hsh2d"
"579","Gvin3"
"580","Stk40"
"581","Iah1"
"582","Best1"
"583","Ythdf1"
"584","Parp3"
"585","Il1rap"
"586","Ttc9c"
"587","Dnaja1"
"588","Cert1"
"589","Tnfrsf1b"
"590","Tfg"
"591","Mapre2"
"592","Ythdc1"
"593","Met"
"594","Cxcl10"
"595","Amn1"
"596","Ppm1b"
"597","Rnf139"
"598","Itga4"
"599","Etv6"
"600","Usp25"
"601","Il7"
"602","Tmco4"
"603","Rapgef2"
"604","Gbp2"
"605","Sertad3"
"606","Psma5"
"607","Bcl2a1d"
"608","Slc15a2"
"609","Ppm1k"
"610","Hook2"
"611","Ell2"
"612","Sumo1"
"613","Slc38a6"
"614","Tmem219"
"615","Igtp"
"616","Sorl1"
"617","Fzd1"
"618","Prrg4"
"619","AI504432"
"620","Ifih1"
"621","Tifa"
"622","Rbm7"
"623","Cnbd2"
"624","Gmppb"
"625","Arel1"
"626","Furin"
"627","Pou2f2"
"628","Aoah"
"629","Lztfl1"
"630","Tspo"
"631","Rnf145"
"632","Gk"
"633","Ifi204"
"634","Rab29"
"635","Pals1"
"636","Kansl1l"
"637","Prnp"
"638","Eif2ak2"
"639","Ifnar2"
"640","Cenpj"
"641","Apba1"
"642","Svbp"
"643","Akap13"
"644","Aif1"
"645","Rabgef1"
"646","9330159M07Rik"
"647","Zfp429"
"648","Adap2"
"649","Smurf1"
"650","Sting1"
"651","Rcsd1"
"652","Rnd3"
"653","Mapkbp1"
"654","Vwa5a"
"655","Tmbim4"
"656","Clba1"
"657","Ahnak2"
"658","Psme2"
"659","Chmp4b"
"660","Slc49a4"
"661","Cdc14a"
"662","Treml2"
"663","Gtpbp2"
"664","Ddx6"
"665","Mecp2"
"666","Gm12250"
"667","Arhgap17"
"668","Ap3m2"
"669","Bmt2"
"670","Gdpd2"
"671","Mttp"
"672","Purb"
"673","Psmb8"
"674","Bloc1s6"
"675","Gm21370"
"676","Pigv"
"677","Cd200r4"
"678","4932438A13Rik"
"679","Rab11fip1"
"680","Hspa4l"
"681","Nub1"
"682","Socs1"
"683","Ly6a"
"684","Mill2"
"685","Usp42"
"686","Lats1"
"687","Tcf4"
"688","Abracl"
"689","Epsti1"
"690","Gsdmd"
"691","Mapkapk2"
"692","Brwd3"
"693","Csrp1"
"694","Tarm1"
"695","Nmi"
"696","Synj1"
"697","Ifi203-ps"
"698","Dennd6b"
"699","Arid4a"
"700","Gm7160"
"701","4930487H11Rik"
"702","Dusp1"
"703","F7"
"704","Sh3bp5"
"705","Wfdc17"
"706","Psma4"
"707","Azi2"
"708","Dnm1l"
"709","Leng9"
"710","Etohd2"
"711","4930518I15Rik"
"712","Kremen1"
"713","Psmd10"
"714","Zbp1"
"715","Slc8a1"
"716","Npc2"
"717","Slfn8"
"718","Slfn1"
"719","Stat5b"
"720","C9orf72"
"721","Dcbld2"
"722","Arl5b"
"723","Myd88"
"724","Tent5a"
"725","Marchf5"
"726","Crebrf"
"727","Atp1b3"
"728","Pip5k1a"
"729","Thbs1"
"730","Cmklr1"
"731","Ankrd17"
"732","Trp53i11"
"733","Arf4"
"734","Aida"
"735","Usp32"
"736","Phxr1"
"737","H2-K1"
"738","Mbtd1"
"739","Dgkh"
"740","Stk4"
"741","Mlkl"
"742","Tet2"
"743","Dleu2"
"744","Pik3cd"
"745","Adhfe1"
"746","Rab22a"
"747","Celf2"
"748","Slc11a2"
"749","Zfp677"
"750","Pdcd10"
"751","Trim36"
"752","Psmb9"
"753","Gm15354"
"754","Notch1"
"755","Axl"
"756","Ttc39b"
"757","Gng12"
"758","Sec23b"
"759","5830432E09Rik"
"760","Pttg1"
"761","Eno2"
"762","Relch"
"763","Slc9a8"
"764","Xrn1"
"765","Cdhr4"
"766","Mndal"
"767","Tmem268"
"768","Zfp281"
"769","Kcnab1"
"770","Clint1"
"771","Zup1"
"772","Ddhd1"
"773","Slc15a3"
"774","Socs7"
"775","Vezt"
"776","Aff1"
"777","Gm20559"
"778","Zcchc4"
"779","Chrna2"
"780","Ccdc25"
"781","Irf7"
"782","Msr1"
"783","H2-Aa"
"784","Zfp758"
"785","Csf1"
"786","Lgals9"
"787","Zbtb6"
"788","Mllt3"
"789","Tasor2"
"790","Elmod2"
"791","Tmed5"
"792","Slc31a1"
"793","Gphn"
"794","Trim56"
"795","Fpr2"
"796","Arid5b"
"797","Socs3"
"798","Wdfy2"
"799","Birc6"
"800","Gvin1"
