"","x"
"761","H2-T24"
"762","H2-T23"
"763","H2-T22"
"764","H2-T10"
"765","Trim26"
"766","H2-M3"
"767","Cd2ap"
"768","Ankrd66"
"769","Enpp4"
"770","Clic5"
"771","Vegfa"
"772","Gtpbp2"
"773","Srf"
"774","Trerf1"
"775","Ccnd3"
"776","Tfeb"
"777","A530064D06Rik"
"778","Trem1"
"779","Trem3"
"780","Treml2"
"781","B430306N03Rik"
"782","Rftn1"
"783","Plcl2"
"784","Kat2b"
"785","Pot1b"
"786","Ebi3"
"787","Gm16712"
"788","Yju2"
"789","Sema6b"
"790","Tnfaip8l1"
"791","Fem1a"
"792","Ticam1"
"793","Kdm4b"
"794","Tnfsf14"
"795","Trip10"
"796","Adgre1"
"797","Lpin2"
"798","Trmt61b"
"799","Xdh"
"800","Crim1"
"801","Fez2"
"802","Gm6548"
"803","Eif2ak2"
"804","Prkd3"
"805","Slc8a1"
"806","Rhoq"
"807","Crem"
"808","Cul2"
"809","Map3k8"
"810","Arhgap12"
"811","Rbbp8"
"812","Impact"
"813","Mocos"
"814","Sft2d3"
"815","Gypc"
"816","Tslp"
"817","Camk4"
"818","Stard4"
"819","Fam53c"
"820","Snhg4"
"821","Sting1"
"822","Hbegf"
"823","Tmco6"
"824","1700086O06Rik"
"825","Arhgap26"
"826","Nr3c1"
"827","Dcp2"
"828","Mcc"
"829","Trim36"
"830","Ticam2"
"831","Srfbp1"
"832","Snx2"
"833","Gramd3"
"834","Isoc1"
"835","Gm4951"
"836","F830016B08Rik"
"837","Iigp1"
"838","BC023105"
"839","Camk2a"
"840","Pdgfrb"
"841","Grpel2"
"842","Adrb2"
"843","Malt1"
"844","Gnal"
"845","Ptpn2"
"846","Ldlrad4"
"847","Tcf4"
"848","4930503L19Rik"
"849","Mbd2"
"850","Lipg"
"851","Smad7"
"852","F830208F22Rik"
"853","Zfp516"
"854","Tshz1"
"855","Cpt1a"
"856","Ssh3"
"857","Ankrd13d"
"858","Grk2"
"859","Sptbn2"
"860","Peli3"
"861","Slc29a2"
"862","AI837181"
"863","Ovol1"
"864","Cdc42ep2"
"865","Batf2"
"866","Rcor2"
"867","Plaat3"
"868","Snhg1"
"869","Ttc9c"
"870","Best1"
"871","Rab3il1"
"872","Dagla"
"873","A430093F15Rik"
"874","AW112010"
"875","Ms4a4c"
"876","Ms4a4b"
"877","Ms4a6c"
"878","Gm8369"
"879","Ms4a6b"
"880","Ms4a6d"
"881","Stx3"
"882","Fam111a"
"883","Lpxn"
"884","Gcnt1"
"885","Anxa1"
"886","Zfand5"
"887","Apba1"
"888","Dock8"
"889","Insl6"
"890","Cd274"
"891","Asah2"
"892","Sgms1"
"893","Minpp1"
"894","Atad1"
"895","Stambpl1"
"896","Fas"
